data,codigo,titulo,autore,possui,lido,paginas,formato,genero, editora, mes
2022-01-17,N009r.016, Re:Zero – Começando Uma Vida Em Outro Mundo 016, Tappei Nagatsuki, Pessoal, Lido,496, Fisico, Fantasia, Newpop,1
2022-04-13,C002m, Meu Nome É Amanda, Amanda Guimarães (Mandy Candy), Ex-Libris, Lido,136, E-Book, Biografia, Fábrica231,4
2022-06-10,A011o, O Conto Da Aia, Margaret Atwood, Ex-Libris, Lido,402, E-Book, Distopia, Rocco Digital,6
2022-07-16,C026e, Estado De Direito, Joaquim José Gomes Canotilho, Ex-Libris, Lido,26, Pdf, Direito, Comunismo,7
2022-10-20,R029n, Nada De Novo No Front, Erich Maria Remarque, Ex-Libris, Lido,144, Pdf, ficcao, Comunismo,10
2022-12-12,N002m, Minha Experiência Lésbica Com A Solidão, Kabi Nagata, Ex-Libris, Não Lido,144, Fisico, autobiografico, Newpop,12
2023-01-07,A019v, Vivendo Uma Conjugalidade Insubordinada: Narrativas De Casais Cis-Trans E Casais Transcentrados, Vinicius Alexandre, Ex-Libris, Lido,191, Pdf, Psicologia, Usp,01
2023-02-21,A033c, Cool For The Summer: Um Verão Inesquecível, Dahlia Adler, Ex-Libris, Lido,288, Fisico, Safico, Alt,02
